Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit,year,Month,Day
Australia and Oceania,Tuvalu,Baby Food,Offline,H,5/28/2010,669165933,9925,255.28,159.42,2533654.0,1582243.5,951410.5,2010,June,Sunday
Central America and the Caribbean,Grenada,Cereal,Online,C,8/22/2012,963881480,2804,205.7,117.11,576782.8,328376.44,248406.36,2012,September,Saturday
Europe,Russia,Office Supplies,Offline,L,5/2/2014,341417157,1779,651.21,524.96,1158502.59,933903.84,224598.75,2014,May,Thursday
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Online,C,6/20/2014,514321792,8102,9.33,6.92,75591.66,56065.84,19525.82,2014,July,Saturday
Sub-Saharan Africa,Rwanda,Office Supplies,Offline,L,2/1/2013,115456712,5062,651.21,524.96,3296425.02,2657347.52,639077.5,2013,February,Wednesday
Australia and Oceania,Solomon Islands,Baby Food,Online,C,2/4/2015,547995746,2974,255.28,159.42,759202.72,474115.08,285087.64,2015,February,Saturday
Sub-Saharan Africa,Angola,Household,Offline,M,4/23/2011,135425221,4187,668.27,502.54,2798046.49,2104134.98,693911.51,2011,April,Wednesday
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,H,7/17/2012,871543967,8082,154.06,90.93,1245112.92,734896.26,510216.66,2012,July,Friday
Sub-Saharan Africa,Republic of the Congo,Personal Care,Offline,M,7/14/2015,770463311,6070,81.73,56.67,496101.1,343986.9,152114.2,2015,August,Tuesday
Sub-Saharan Africa,Senegal,Cereal,Online,H,4/18/2014,616607081,6593,205.7,117.11,1356180.1,772106.23,584073.87,2014,May,Friday
Asia,Kyrgyzstan,Vegetables,Online,H,6/24/2011,814711606,124,154.06,90.93,19103.44,11275.32,7828.12,2011,July,Tuesday
Sub-Saharan Africa,Cape Verde,Clothes,Offline,H,8/2/2014,939825713,4168,109.28,35.84,455479.04,149381.12,306097.92,2014,August,Tuesday
Asia,Bangladesh,Clothes,Online,L,1/13/2017,187310731,8263,109.28,35.84,902980.64,296145.92,606834.72,2017,March,Wednesday
Asia,Mongolia,Personal Care,Offline,C,2/19/2014,832401311,4901,81.73,56.67,400558.73,277739.67,122819.06,2014,February,Sunday
Europe,Bulgaria,Clothes,Online,M,4/23/2012,972292029,1673,109.28,35.84,182825.44,59960.32,122865.12,2012,June,Sunday
Asia,Sri Lanka,Cosmetics,Offline,M,11/19/2016,419123971,6952,437.2,263.33,3039414.4,1830670.16,1208744.24,2016,December,Sunday
Sub-Saharan Africa,Cameroon,Beverages,Offline,C,4/1/2015,519820964,5430,47.45,31.79,257653.5,172619.7,85033.8,2015,April,Saturday
Asia,Turkmenistan,Household,Offline,L,12/30/2010,441619336,3830,668.27,502.54,2559474.1,1924728.2,634745.9,2011,January,Thursday
Australia and Oceania,East Timor,Meat,Online,L,7/31/2012,322067916,5908,421.89,364.69,2492526.12,2154588.52,337937.6,2012,September,Tuesday
Europe,Norway,Baby Food,Online,L,5/14/2014,819028031,7450,255.28,159.42,1901836.0,1187679.0,714157.0,2014,June,Saturday
Europe,Portugal,Baby Food,Online,H,7/31/2015,860673511,1273,255.28,159.42,324971.44,202941.66,122029.78,2015,September,Thursday
Central America and the Caribbean,Honduras,Snacks,Online,L,6/30/2016,795490682,2225,152.58,97.44,339490.5,216804.0,122686.5,2016,July,Tuesday
Australia and Oceania,New Zealand,Fruits,Online,H,9/8/2014,142278373,2187,9.33,6.92,20404.71,15134.04,5270.67,2014,October,Saturday
Europe,Moldova ,Personal Care,Online,L,5/7/2016,740147912,5070,81.73,56.67,414371.1,287316.9,127054.2,2016,May,Tuesday
Europe,France,Cosmetics,Online,H,5/22/2017,898523128,1815,437.2,263.33,793518.0,477943.95,315574.05,2017,June,Monday
Australia and Oceania,Kiribati,Fruits,Online,M,10/13/2014,347140347,5398,9.33,6.92,50363.34,37354.16,13009.18,2014,November,Monday
Sub-Saharan Africa,Mali,Fruits,Online,L,5/7/2010,686048400,5822,9.33,6.92,54319.26,40288.24,14031.02,2010,May,Monday
Europe,Norway,Beverages,Offline,C,7/18/2014,435608613,5124,47.45,31.79,243133.8,162891.96,80241.84,2014,July,Wednesday
Sub-Saharan Africa,The Gambia,Household,Offline,L,5/26/2012,886494815,2370,668.27,502.54,1583799.9,1191019.8,392780.1,2012,June,Saturday
Europe,Switzerland,Cosmetics,Offline,M,9/17/2012,249693334,8661,437.2,263.33,3786589.2,2280701.13,1505888.07,2012,October,Saturday
Sub-Saharan Africa,South Sudan,Personal Care,Offline,C,12/29/2013,406502997,2125,81.73,56.67,173676.25,120423.75,53252.5,2014,January,Tuesday
Australia and Oceania,Australia,Office Supplies,Online,C,10/27/2015,158535134,2924,651.21,524.96,1904138.04,1534983.04,369155.0,2015,November,Wednesday
Asia,Myanmar,Household,Offline,H,1/16/2015,177713572,8250,668.27,502.54,5513227.5,4145955.0,1367272.5,2015,March,Sunday
Sub-Saharan Africa,Djibouti,Snacks,Online,M,2/25/2017,756274640,7327,152.58,97.44,1117953.66,713942.88,404010.78,2017,February,Saturday
Central America and the Caribbean,Costa Rica,Personal Care,Offline,L,5/8/2017,456767165,6409,81.73,56.67,523807.57,363198.03,160609.54,2017,May,Sunday
Middle East and North Africa,Syria,Fruits,Online,L,11/22/2011,162052476,3784,9.33,6.92,35304.72,26185.28,9119.44,2011,December,Saturday
Sub-Saharan Africa,The Gambia,Meat,Online,M,1/14/2017,825304400,4767,421.89,364.69,2011149.63,1738477.23,272672.4,2017,January,Monday
Asia,Brunei,Office Supplies,Online,L,4/1/2012,320009267,6708,651.21,524.96,4368316.68,3521431.68,846885.0,2012,May,Tuesday
Europe,Bulgaria,Office Supplies,Online,M,2/16/2012,189965903,3987,651.21,524.96,2596374.27,2093015.52,503358.75,2012,February,Tuesday
Sub-Saharan Africa,Niger,Personal Care,Online,H,3/11/2017,699285638,3015,81.73,56.67,246415.95,170860.05,75555.9,2017,March,Tuesday
Middle East and North Africa,Azerbaijan,Cosmetics,Online,M,2/6/2010,382392299,7234,437.2,263.33,3162704.8,1904929.22,1257775.58,2010,February,Thursday
Sub-Saharan Africa,The Gambia,Cereal,Offline,H,6/7/2012,994022214,2117,205.7,117.11,435466.9,247921.87,187545.03,2012,June,Friday
Europe,Slovakia,Vegetables,Online,H,10/6/2012,759224212,171,154.06,90.93,26344.26,15549.03,10795.23,2012,November,Saturday
Asia,Myanmar,Clothes,Online,H,11/14/2015,223359620,5930,109.28,35.84,648030.4,212531.2,435499.2,2015,November,Wednesday
Sub-Saharan Africa,Comoros,Cereal,Offline,H,3/29/2016,902102267,962,205.7,117.11,197883.4,112659.82,85223.58,2016,April,Friday
Europe,Iceland,Cosmetics,Online,C,12/31/2016,331438481,8867,437.2,263.33,3876652.4,2334947.11,1541705.29,2016,December,Saturday
Europe,Switzerland,Personal Care,Online,M,12/23/2010,617667090,273,81.73,56.67,22312.29,15470.91,6841.38,2011,January,Monday
Europe,Macedonia,Clothes,Offline,C,10/14/2014,787399423,7842,109.28,35.84,856973.76,281057.28,575916.48,2014,November,Friday
Sub-Saharan Africa,Mauritania,Office Supplies,Offline,C,1/11/2012,837559306,1266,651.21,524.96,824431.86,664599.36,159832.5,2012,January,Friday
Europe,Albania,Clothes,Online,C,2/2/2010,385383069,2269,109.28,35.84,247956.32,81320.96,166635.36,2010,March,Thursday
Sub-Saharan Africa,Lesotho,Fruits,Online,L,8/18/2013,918419539,9606,9.33,6.92,89623.98,66473.52,23150.46,2013,September,Wednesday
Middle East and North Africa,Saudi Arabia,Cereal,Online,M,3/25/2013,844530045,4063,205.7,117.11,835759.1,475817.93,359941.17,2013,March,Thursday
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,M,11/26/2011,441888415,3457,651.21,524.96,2251232.97,1814786.72,436446.25,2012,January,Saturday
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Offline,H,9/17/2013,508980977,7637,9.33,6.92,71253.21,52848.04,18405.17,2013,October,Thursday
Sub-Saharan Africa,Cote d'Ivoire,Clothes,Online,C,6/8/2012,114606559,3482,109.28,35.84,380512.96,124794.88,255718.08,2012,June,Wednesday
Australia and Oceania,Fiji,Clothes,Offline,C,6/30/2010,647876489,9905,109.28,35.84,1082418.4,354995.2,727423.2,2010,August,Sunday
